Processes,Size,Latency
2,2,0.13
2,4,0.14
2,8,0.14
2,16,0.14
2,32,0.15
2,64,0.15
2,128,0.22
2,256,0.20
2,512,0.21
2,1024,0.27
2,2048,0.29
2,4096,0.38
2,8192,0.56
2,16384,3.71
2,32768,4.23
2,65536,5.68
2,131072,9.47
2,262144,20.16
2,524288,40.45
2,1048576,78.62
4,2,0.13
4,4,0.13
4,8,0.13
4,16,0.13
4,32,0.13
4,64,0.13
4,128,0.25
4,256,0.28
4,512,0.29
4,1024,0.34
4,2048,0.46
4,4096,0.69
4,8192,1.07
4,16384,4.09
4,32768,4.98
4,65536,7.68
4,131072,14.76
4,262144,33.65
4,524288,66.76
4,1048576,149.59
8,2,1.01
8,4,0.96
8,8,0.93
8,16,0.97
8,32,1.06
8,64,1.08
8,128,1.61
8,256,1.61
8,512,1.75
8,1024,1.88
8,2048,2.50
8,4096,3.44
8,8192,4.82
8,16384,6.38
8,32768,12.13
8,65536,24.32
8,131072,51.44
8,262144,115.58
8,524288,255.37
8,1048576,392.15
16,2,1.67
16,4,1.74
16,8,1.65
16,16,1.69
16,32,1.81
16,64,1.84
16,128,3.02
16,256,3.26
16,512,3.72
16,1024,3.99
16,2048,5.57
16,4096,7.87
16,8192,10.97
16,16384,10.20
16,32768,23.64
16,65536,50.47
16,131072,108.11
16,262144,231.30
16,524288,469.43
16,1048576,856.62
32,2,3.33
32,4,3.26
32,8,3.26
32,16,3.28
32,32,3.38
32,64,3.38
32,128,6.79
32,256,7.05
32,512,8.02
32,1024,8.40
32,2048,12.61
32,4096,17.09
32,8192,24.10
32,16384,22.08
32,32768,50.73
32,65536,110.57
32,131072,226.63
32,262144,457.56
32,524288,917.35
32,1048576,1701.89
64,2,5.21
64,4,5.17
64,8,5.22
64,16,5.77
64,32,5.67
64,64,6.43
64,128,14.99
64,256,15.51
64,512,15.67
64,1024,17.76
64,2048,27.34
64,4096,36.30
64,8192,53.84
64,16384,52.14
64,32768,86.20
64,65536,237.93
64,131072,506.86
64,262144,1059.20
64,524288,2206.28
64,1048576,4101.20
128,2,13.54
128,4,14.09
128,8,14.06
128,16,14.63
128,32,15.33
128,64,15.84
128,128,37.53
128,256,39.10
128,512,38.73
128,1024,41.95
128,2048,67.40
128,4096,88.22
128,8192,141.56
128,16384,115.42
128,32768,209.74
128,65536,622.73
128,131072,1442.32
128,262144,3308.15
128,524288,4242.55
128,1048576,11538.33
256,2,38.22
256,4,38.56
256,8,37.87
256,16,39.07
256,32,39.50
256,64,40.47
256,128,78.71
256,256,83.32
256,512,83.03
256,1024,93.08
256,2048,131.47
256,4096,175.69
256,8192,241.80
256,16384,126.30
256,32768,254.19
256,65536,558.09
256,131072,1148.72
256,262144,2504.67
256,524288,5639.64
256,1048576,11282.92
