Processes,Latency
2,0.15
4,0.17
6,0.37
8,0.86
10,1.26
12,1.23
14,1.28
16,1.27
18,1.73
20,1.85
22,1.86
24,1.90
26,1.89
28,1.88
30,1.91
32,2.29
34,2.62
36,2.67
38,2.55
40,2.65
42,2.68
44,2.66
46,2.77
48,2.76
50,2.76
52,2.64
54,2.85
56,2.90
58,2.97
60,2.83
62,2.78
64,2.32
66,2.06
68,2.22
70,2.27
72,2.74
74,2.61
76,3.02
78,2.67
80,2.98
82,2.97
84,2.80
86,3.95
88,2.99
90,3.10
92,3.06
94,3.10
96,3.17
98,3.46
100,3.37
102,3.49
104,3.55
106,3.65
108,3.63
110,3.61
112,3.50
114,3.67
116,3.77
118,3.76
120,3.77
122,3.94
124,3.79
126,3.74
128,3.79
130,2.66
132,2.99
134,2.86
136,3.56
138,3.50
140,3.45
142,3.18
144,3.81
146,3.73
148,3.52
150,3.59
152,3.91
154,4.15
156,4.38
158,5.01
160,5.81
162,5.86
164,6.93
166,7.39
168,7.52
170,7.74
172,7.49
174,7.82
176,5.78
178,6.90
180,6.98
182,6.76
184,7.33
186,7.49
188,7.46
190,8.06
192,7.76
194,9.04
196,9.13
198,9.25
200,9.49
202,10.26
204,10.31
206,11.19
208,10.55
210,11.03
212,11.13
214,11.67
216,11.73
218,11.93
220,11.67
222,11.27
224,10.81
226,11.67
228,11.82
230,12.12
232,12.64
234,12.90
236,13.54
238,13.83
240,13.72
242,14.55
244,15.24
246,15.76
248,16.16
250,16.62
252,17.23
254,18.38
256,5.72
