Processes,Size,Latency
2,2,0.21
2,4,0.22
2,8,0.21
2,16,0.22
2,32,0.29
2,64,0.27
2,128,0.32
2,256,0.33
2,512,0.41
2,1024,0.44
2,2048,0.59
2,4096,0.91
2,8192,1.65
2,16384,3.56
2,32768,6.52
2,65536,9.77
2,131072,14.67
2,262144,24.53
2,524288,47.95
2,1048576,111.53
4,2,0.23
4,4,0.20
4,8,0.22
4,16,0.23
4,32,0.29
4,64,0.29
4,128,0.44
4,256,0.47
4,512,0.56
4,1024,0.75
4,2048,1.10
4,4096,1.80
4,8192,2.94
4,16384,4.87
4,32768,8.94
4,65536,14.46
4,131072,26.36
4,262144,53.89
4,524288,113.68
4,1048576,164.89
6,2,0.32
6,4,0.32
6,8,0.32
6,16,0.34
6,32,0.42
6,64,0.43
6,128,0.69
6,256,0.76
6,512,0.82
6,1024,1.09
6,2048,1.61
6,4096,2.57
6,8192,4.04
6,16384,6.00
6,32768,10.40
6,65536,21.71
6,131072,32.46
6,262144,88.71
6,524288,100.35
6,1048576,175.96
8,2,0.67
8,4,0.74
8,8,0.77
8,16,0.65
8,32,0.85
8,64,0.81
8,128,1.33
8,256,1.37
8,512,1.48
8,1024,1.87
8,2048,2.40
8,4096,3.74
8,8192,5.43
8,16384,6.82
8,32768,13.30
8,65536,28.68
8,131072,57.46
8,262144,95.88
8,524288,131.56
8,1048576,191.52
10,2,0.85
10,4,0.86
10,8,0.88
10,16,0.88
10,32,1.02
10,64,1.02
10,128,1.64
10,256,1.70
10,512,1.78
10,1024,2.34
10,2048,2.94
10,4096,4.51
10,8192,6.51
10,16384,9.02
10,32768,15.65
10,65536,33.96
10,131072,68.77
10,262144,84.98
10,524288,150.80
10,1048576,229.78
12,2,0.83
12,4,0.88
12,8,0.93
12,16,0.89
12,32,1.09
12,64,0.99
12,128,1.82
12,256,1.90
12,512,1.97
12,1024,2.75
12,2048,3.35
12,4096,4.90
12,8192,7.49
12,16384,10.84
12,32768,17.96
12,65536,40.09
12,131072,82.22
12,262144,103.27
12,524288,151.07
12,1048576,255.46
14,2,0.98
14,4,0.94
14,8,1.10
14,16,0.92
14,32,1.29
14,64,1.12
14,128,2.10
14,256,2.21
14,512,2.49
14,1024,3.34
14,2048,4.15
14,4096,5.90
14,8192,9.08
14,16384,12.66
14,32768,19.80
14,65536,53.49
14,131072,92.92
14,262144,116.31
14,524288,181.79
14,1048576,275.49
16,2,1.52
16,4,1.55
16,8,1.61
16,16,1.46
16,32,1.88
16,64,1.73
16,128,3.31
16,256,3.47
16,512,3.74
16,1024,4.78
16,2048,5.76
16,4096,8.00
16,8192,11.87
16,16384,13.18
16,32768,28.31
16,65536,38.41
16,131072,75.32
16,262144,139.34
16,524288,171.13
16,1048576,265.81
18,2,2.33
18,4,2.32
18,8,2.30
18,16,2.38
18,32,2.63
18,64,2.61
18,128,3.99
18,256,4.00
18,512,4.51
18,1024,5.76
18,2048,6.90
18,4096,9.37
18,8192,14.04
18,16384,15.34
18,32768,23.61
18,65536,73.59
18,131072,130.95
18,262144,123.35
18,524288,241.30
18,1048576,286.01
20,2,2.36
20,4,2.35
20,8,2.41
20,16,2.35
20,32,2.74
20,64,2.71
20,128,4.60
20,256,4.78
20,512,5.29
20,1024,6.80
20,2048,8.30
20,4096,11.14
20,8192,16.48
20,16384,17.30
20,32768,35.77
20,65536,83.17
20,131072,103.71
20,262144,135.20
20,524288,200.88
20,1048576,269.25
22,2,2.90
22,4,2.39
22,8,2.43
22,16,2.37
22,32,2.89
22,64,2.77
22,128,5.23
22,256,5.33
22,512,5.99
22,1024,7.67
22,2048,9.28
22,4096,12.67
22,8192,18.91
22,16384,18.43
22,32768,44.06
22,65536,94.33
22,131072,96.80
22,262144,129.54
22,524288,239.51
22,1048576,291.52
24,2,2.65
24,4,2.69
24,8,2.61
24,16,2.61
24,32,3.06
24,64,3.15
24,128,5.97
24,256,6.11
24,512,6.79
24,1024,8.75
24,2048,10.59
24,4096,14.53
24,8192,21.59
24,16384,19.35
24,32768,44.91
24,65536,56.22
24,131072,127.03
24,262144,142.91
24,524288,171.20
24,1048576,291.76
26,2,2.39
26,4,2.54
26,8,2.32
26,16,2.35
26,32,2.93
26,64,3.01
26,128,5.94
26,256,6.23
26,512,7.03
26,1024,9.14
26,2048,11.18
26,4096,15.45
26,8192,23.34
26,16384,20.37
26,32768,31.11
26,65536,98.95
26,131072,121.78
26,262144,183.85
26,524288,196.49
26,1048576,307.05
28,2,2.82
28,4,2.46
28,8,2.44
28,16,2.44
28,32,2.95
28,64,2.89
28,128,6.41
28,256,6.59
28,512,7.48
28,1024,9.77
28,2048,12.08
28,4096,16.81
28,8192,26.05
28,16384,19.65
28,32768,41.39
28,65536,56.16
28,131072,101.48
28,262144,125.93
28,524288,184.90
28,1048576,327.89
30,2,3.02
30,4,2.77
30,8,2.76
30,16,2.76
30,32,3.40
30,64,3.24
30,128,7.00
30,256,7.36
30,512,8.37
30,1024,10.64
30,2048,13.59
30,4096,18.84
30,8192,27.34
30,16384,19.50
30,32768,29.94
30,65536,70.30
30,131072,114.48
30,262144,145.94
30,524288,195.86
30,1048576,379.36
32,2,3.34
32,4,3.41
32,8,3.31
32,16,3.31
32,32,3.67
32,64,3.74
32,128,7.65
32,256,7.97
32,512,9.16
32,1024,11.78
32,2048,14.52
32,4096,19.80
32,8192,30.18
32,16384,18.97
32,32768,38.01
32,65536,76.34
32,131072,112.14
32,262144,152.29
32,524288,268.46
32,1048576,437.12
34,2,4.92
34,4,4.86
34,8,4.73
34,16,4.82
34,32,5.36
34,64,5.06
34,128,9.03
34,256,9.31
34,512,10.39
34,1024,13.10
34,2048,15.75
34,4096,21.18
34,8192,32.33
34,16384,21.93
34,32768,44.05
34,65536,67.89
34,131072,126.22
34,262144,162.98
34,524288,267.78
34,1048576,516.09
36,2,5.02
36,4,4.67
36,8,4.68
36,16,4.70
36,32,5.22
36,64,5.10
36,128,8.96
36,256,9.41
36,512,10.57
36,1024,13.36
36,2048,16.50
36,4096,22.06
36,8192,33.53
36,16384,21.58
36,32768,42.90
36,65536,57.29
36,131072,132.89
36,262144,187.15
36,524288,341.75
36,1048576,613.23
38,2,4.44
38,4,4.27
38,8,4.25
38,16,4.30
38,32,4.84
38,64,4.77
38,128,8.70
38,256,9.06
38,512,10.23
