Processes,Size,Latency
2,2,0.20
2,4,0.21
2,8,0.21
2,16,0.20
2,32,0.24
2,64,0.27
2,128,0.30
2,256,0.33
2,512,0.37
2,1024,0.43
2,2048,0.56
2,4096,0.84
2,8192,1.35
2,16384,3.11
2,32768,5.23
2,65536,6.94
2,131072,9.95
2,262144,15.73
2,524288,28.78
2,1048576,64.10
4,2,0.53
4,4,0.55
4,8,0.52
4,16,0.50
4,32,0.76
4,64,0.75
4,128,1.07
4,256,1.14
4,512,1.32
4,1024,1.58
4,2048,2.46
4,4096,3.58
4,8192,5.28
4,16384,9.23
4,32768,15.46
4,65536,21.55
4,131072,35.72
4,262144,59.00
4,524288,112.76
4,1048576,255.03
6,2,0.83
6,4,0.82
6,8,0.82
6,16,0.82
6,32,0.97
6,64,0.98
6,128,1.53
6,256,1.57
6,512,1.74
6,1024,2.10
6,2048,3.09
6,4096,4.35
6,8192,6.51
6,16384,11.10
6,32768,17.70
6,65536,30.17
6,131072,58.84
6,262144,98.25
6,524288,180.88
6,1048576,357.75
8,2,0.95
8,4,0.94
8,8,0.91
8,16,0.91
8,32,1.35
8,64,1.30
8,128,1.80
8,256,1.87
8,512,2.31
8,1024,2.33
8,2048,3.43
8,4096,4.78
8,8192,7.30
8,16384,13.43
8,32768,21.10
8,65536,36.94
8,131072,57.77
8,262144,111.85
8,524288,215.88
8,1048576,380.04
10,2,1.22
10,4,1.20
10,8,1.23
10,16,1.19
10,32,1.50
10,64,1.45
10,128,2.25
10,256,2.09
10,512,2.32
10,1024,2.81
10,2048,3.91
10,4096,5.49
10,8192,8.15
10,16384,14.84
10,32768,24.15
10,65536,39.90
10,131072,71.79
10,262144,142.43
10,524288,235.55
10,1048576,464.67
12,2,1.22
12,4,1.17
12,8,1.21
12,16,1.15
12,32,1.47
12,64,1.43
12,128,2.45
12,256,2.10
12,512,2.35
12,1024,2.93
12,2048,4.00
12,4096,5.65
12,8192,8.41
12,16384,16.71
12,32768,25.28
12,65536,43.11
12,131072,81.13
12,262144,137.97
12,524288,250.83
12,1048576,470.20
14,2,1.18
14,4,1.15
14,8,1.13
14,16,1.16
14,32,1.49
14,64,1.51
14,128,2.14
14,256,2.22
14,512,2.38
14,1024,2.99
14,2048,4.14
14,4096,5.96
14,8192,8.76
14,16384,17.26
14,32768,26.01
14,65536,45.64
14,131072,80.48
14,262144,156.83
14,524288,314.36
14,1048576,517.72
16,2,1.23
16,4,1.21
16,8,1.24
16,16,1.20
16,32,1.79
16,64,1.55
16,128,2.54
16,256,2.31
16,512,2.58
16,1024,2.95
16,2048,4.23
16,4096,6.07
16,8192,9.08
16,16384,18.53
16,32768,28.01
16,65536,50.05
16,131072,85.26
16,262144,155.51
16,524288,306.39
16,1048576,601.10
18,2,1.52
18,4,1.49
18,8,1.50
18,16,1.43
18,32,1.85
18,64,1.98
18,128,2.49
18,256,2.61
18,512,2.80
18,1024,3.31
18,2048,4.65
18,4096,6.41
18,8192,9.73
18,16384,19.70
18,32768,29.47
18,65536,48.10
18,131072,88.58
18,262144,167.40
18,524288,310.82
18,1048576,564.55
20,2,1.45
20,4,1.45
20,8,1.49
20,16,1.53
20,32,1.84
20,64,2.22
20,128,2.51
20,256,2.53
20,512,2.77
20,1024,3.44
20,2048,4.71
20,4096,6.55
20,8192,10.00
20,16384,21.10
20,32768,30.53
20,65536,53.38
20,131072,97.71
20,262144,176.13
20,524288,327.48
20,1048576,622.68
22,2,1.44
22,4,1.36
22,8,1.42
22,16,1.43
22,32,1.69
22,64,1.80
22,128,2.53
22,256,2.59
22,512,2.77
22,1024,3.45
22,2048,4.80
22,4096,7.04
22,8192,10.44
22,16384,21.30
22,32768,31.94
22,65536,56.75
22,131072,94.64
22,262144,179.37
22,524288,341.39
22,1048576,705.67
24,2,1.42
24,4,1.43
24,8,1.41
24,16,1.40
24,32,1.84
24,64,1.75
24,128,2.50
24,256,2.62
24,512,2.84
24,1024,3.46
24,2048,4.86
24,4096,7.05
24,8192,10.43
24,16384,22.28
24,32768,32.90
24,65536,57.83
24,131072,99.61
24,262144,189.21
24,524288,336.74
24,1048576,635.82
26,2,1.50
26,4,1.48
26,8,1.54
26,16,1.56
26,32,1.79
26,64,1.81
26,128,2.45
26,256,2.60
26,512,2.76
26,1024,3.48
26,2048,4.86
26,4096,7.10
26,8192,11.07
26,16384,22.01
26,32768,34.60
26,65536,56.82
26,131072,101.54
26,262144,182.88
26,524288,372.46
26,1048576,690.12
28,2,1.50
28,4,1.55
28,8,1.53
28,16,1.52
28,32,1.74
28,64,1.80
28,128,2.44
28,256,2.52
28,512,2.66
28,1024,3.47
28,2048,5.36
28,4096,7.25
28,8192,11.21
28,16384,21.85
28,32768,34.35
28,65536,58.41
28,131072,113.21
28,262144,199.97
28,524288,395.12
28,1048576,795.43
30,2,1.58
30,4,1.61
30,8,1.58
30,16,1.55
30,32,1.71
30,64,1.86
30,128,2.35
30,256,2.51
30,512,2.69
30,1024,3.42
30,2048,5.02
30,4096,7.44
30,8192,11.59
30,16384,22.39
30,32768,35.46
30,65536,62.77
30,131072,122.91
30,262144,222.01
30,524288,421.39
30,1048576,861.89
32,2,1.98
32,4,1.97
32,8,2.43
32,16,2.01
32,32,2.48
32,64,2.50
32,128,3.25
32,256,3.62
32,512,3.71
32,1024,4.35
32,2048,6.04
32,4096,8.68
32,8192,13.26
32,16384,24.87
32,32768,39.14
32,65536,68.04
32,131072,136.29
32,262144,253.04
32,524288,492.26
32,1048576,961.82
34,2,3.98
34,4,3.90
34,8,3.87
34,16,3.90
34,32,4.24
34,64,4.15
34,128,5.06
34,256,5.15
34,512,5.53
34,1024,6.23
34,2048,8.07
34,4096,10.67
34,8192,15.48
34,16384,27.73
34,32768,42.82
34,65536,73.04
34,131072,160.54
34,262144,305.40
34,524288,577.86
34,1048576,1093.34
36,2,3.71
36,4,3.72
36,8,3.58
36,16,3.54
36,32,3.91
36,64,3.94
36,128,4.81
36,256,5.02
36,512,5.32
36,1024,6.21
36,2048,8.01
36,4096,10.92
36,8192,16.24
36,16384,28.78
36,32768,44.64
36,65536,78.80
36,131072,170.16
36,262144,329.83
36,524288,636.46
36,1048576,1261.15
38,2,3.45
38,4,3.44
38,8,3.48
38,16,3.42
38,32,3.94
38,64,3.90
38,128,4.80
38,256,5.06
38,512,5.26
38,1024,6.24
38,2048,8.26
38,4096,11.44
38,8192,17.25
38,16384,30.57
38,32768,47.52
38,65536,84.47
38,131072,193.39
38,262144,378.23
38,524288,718.96
38,1048576,1409.74
40,2,3.41
40,4,3.46
40,8,3.30
40,16,3.24
40,32,3.69
40,64,3.83
40,128,4.74
40,256,4.95
40,512,5.27
40,1024,6.34
40,2048,8.36
40,4096,11.84
40,8192,17.71
40,16384,31.24
40,32768,50.24
40,65536,90.87
40,131072,217.13
40,262144,417.31
40,524288,822.77
40,1048576,1605.01
42,2,3.70
42,4,3.35
42,8,3.32
42,16,3.28
42,32,3.72
42,64,3.82
42,128,4.69
42,256,4.94
42,512,5.24
42,1024,6.25
42,2048,8.42
42,4096,11.85
42,8192,18.11
42,16384,32.35
42,32768,51.04
42,65536,94.33
42,131072,223.71
42,262144,427.13
42,524288,846.49
42,1048576,1680.18
44,2,3.23
44,4,3.08
44,8,3.11
44,16,3.08
44,32,3.53
44,64,3.62
44,128,4.67
44,256,4.81
44,512,5.11
44,1024,6.23
44,2048,8.19
44,4096,11.91
44,8192,18.08
44,16384,33.24
44,32768,52.32
44,65536,93.72
