Processes,Size,Latency
2,2,0.21
2,4,0.20
2,8,0.21
2,16,0.21
2,32,0.24
2,64,0.27
2,128,0.32
2,256,0.35
2,512,0.37
2,1024,0.44
2,2048,0.55
2,4096,0.85
2,8192,1.35
2,16384,3.11
2,32768,5.24
2,65536,6.91
2,131072,9.74
2,262144,15.47
2,524288,28.32
2,1048576,63.32
4,2,0.32
4,4,0.35
4,8,0.34
4,16,0.40
4,32,0.63
4,64,0.56
4,128,1.09
4,256,1.17
4,512,1.32
4,1024,1.62
4,2048,2.42
4,4096,3.76
4,8192,5.83
4,16384,8.93
4,32768,13.85
4,65536,20.40
4,131072,38.91
4,262144,74.60
4,524288,151.97
4,1048576,319.19
6,2,0.67
6,4,0.68
6,8,0.66
6,16,0.68
6,32,0.90
6,64,0.88
6,128,1.75
6,256,1.80
6,512,2.07
6,1024,2.62
6,2048,3.57
6,4096,5.45
6,8192,8.46
6,16384,13.73
6,32768,19.75
6,65536,37.21
6,131072,76.67
6,262144,148.73
6,524288,311.15
6,1048576,526.10
8,2,1.05
8,4,0.99
8,8,0.97
8,16,1.02
8,32,1.44
8,64,1.52
8,128,2.65
8,256,2.71
8,512,3.01
8,1024,3.66
8,2048,5.08
8,4096,7.04
8,8192,10.91
8,16384,13.90
8,32768,23.16
8,65536,42.15
8,131072,92.45
8,262144,161.41
8,524288,324.34
8,1048576,522.69
10,2,1.34
10,4,1.36
10,8,1.38
10,16,1.34
10,32,1.79
10,64,1.78
10,128,2.46
10,256,2.45
10,512,2.73
10,1024,3.34
10,2048,4.45
10,4096,6.44
10,8192,9.64
10,16384,18.92
10,32768,34.58
10,65536,58.15
10,131072,120.61
10,262144,230.19
10,524288,436.65
10,1048576,731.05
12,2,1.59
12,4,1.57
12,8,1.60
12,16,1.60
12,32,2.14
12,64,1.85
12,128,3.01
12,256,3.12
12,512,3.44
12,1024,4.30
12,2048,5.65
12,4096,7.87
12,8192,12.10
12,16384,24.42
12,32768,38.72
12,65536,78.67
12,131072,139.80
12,262144,269.54
12,524288,511.97
12,1048576,923.60
14,2,1.36
14,4,1.43
14,8,1.34
14,16,1.34
14,32,2.10
14,64,1.71
14,128,3.13
14,256,3.25
14,512,3.67
14,1024,4.77
14,2048,6.16
14,4096,8.94
14,8192,13.97
14,16384,24.37
14,32768,39.72
14,65536,73.60
14,131072,150.46
14,262144,313.27
14,524288,559.24
14,1048576,994.59
16,2,1.55
16,4,1.56
16,8,1.54
16,16,1.54
16,32,2.34
16,64,2.14
16,128,3.91
16,256,4.03
16,512,4.49
16,1024,5.55
16,2048,7.13
16,4096,10.25
16,8192,16.01
16,16384,25.34
16,32768,41.87
16,65536,79.81
16,131072,157.55
16,262144,277.50
16,524288,530.79
16,1048576,1038.47
18,2,2.17
18,4,2.16
18,8,2.14
18,16,2.20
18,32,2.90
18,64,2.65
18,128,3.93
18,256,3.98
18,512,4.40
18,1024,5.40
18,2048,6.86
18,4096,9.64
18,8192,15.12
18,16384,29.95
18,32768,52.51
18,65536,89.15
18,131072,177.10
18,262144,346.18
18,524288,688.97
18,1048576,1211.72
20,2,2.15
20,4,2.09
20,8,2.15
20,16,2.16
20,32,2.90
20,64,2.70
20,128,4.34
20,256,4.49
20,512,4.93
20,1024,6.11
20,2048,7.86
20,4096,11.00
20,8192,17.14
20,16384,32.73
20,32768,55.16
20,65536,98.80
20,131072,183.22
20,262144,388.04
20,524288,702.32
20,1048576,1338.13
22,2,2.23
22,4,2.21
22,8,2.28
22,16,2.27
22,32,3.11
22,64,2.90
22,128,4.84
22,256,5.00
22,512,5.54
22,1024,6.92
22,2048,8.80
22,4096,12.45
22,8192,18.98
22,16384,34.79
22,32768,56.31
22,65536,103.96
22,131072,199.66
22,262144,403.84
22,524288,789.43
22,1048576,1321.09
24,2,2.31
24,4,2.30
24,8,2.30
24,16,2.35
24,32,3.47
24,64,3.06
24,128,5.16
24,256,5.35
24,512,5.99
24,1024,7.60
24,2048,9.58
24,4096,13.38
24,8192,20.82
24,16384,34.73
24,32768,62.05
24,65536,108.70
24,131072,194.24
24,262144,411.97
24,524288,781.99
24,1048576,1509.98
26,2,2.43
26,4,2.49
26,8,2.42
26,16,2.46
26,32,3.43
26,64,3.08
26,128,4.78
26,256,4.95
26,512,5.48
26,1024,6.73
26,2048,8.67
26,4096,12.24
26,8192,19.08
26,16384,38.95
26,32768,64.06
26,65536,118.92
26,131072,230.04
26,262144,441.87
26,524288,877.89
26,1048576,1543.03
28,2,2.49
28,4,3.04
28,8,2.54
28,16,2.49
28,32,3.61
28,64,3.19
28,128,5.00
28,256,5.22
28,512,5.90
28,1024,7.27
28,2048,9.44
28,4096,13.34
28,8192,21.15
28,16384,41.43
28,32768,67.04
28,65536,120.20
28,131072,226.61
28,262144,443.92
28,524288,859.15
28,1048576,1685.28
30,2,2.36
30,4,3.10
30,8,2.34
30,16,2.33
30,32,3.45
30,64,3.10
30,128,5.06
30,256,5.36
30,512,6.01
30,1024,7.59
30,2048,9.96
30,4096,14.54
30,8192,23.05
30,16384,43.92
30,32768,69.96
30,65536,125.07
30,131072,245.47
30,262144,479.06
30,524288,985.94
30,1048576,1711.38
32,2,2.99
32,4,3.12
32,8,2.94
32,16,2.97
32,32,4.11
32,64,4.03
32,128,6.21
32,256,6.73
32,512,7.35
32,1024,8.90
32,2048,12.58
32,4096,16.57
32,8192,26.19
32,16384,44.97
32,32768,71.08
32,65536,126.99
32,131072,227.33
32,262144,434.82
32,524288,869.75
32,1048576,1622.26
34,2,4.98
34,4,4.84
34,8,4.86
34,16,4.81
34,32,5.97
34,64,5.75
34,128,7.93
34,256,8.19
34,512,9.11
34,1024,10.46
34,2048,13.00
34,4096,17.85
34,8192,26.99
34,16384,48.54
34,32768,79.41
34,65536,136.80
34,131072,251.22
34,262144,483.37
34,524288,917.42
34,1048576,1818.00
36,2,5.94
36,4,5.05
36,8,5.05
36,16,5.10
36,32,6.15
36,64,5.93
36,128,8.72
36,256,8.75
36,512,9.61
36,1024,11.30
36,2048,14.27
36,4096,19.28
36,8192,29.45
36,16384,50.18
36,32768,83.04
36,65536,144.32
36,131072,268.75
36,262144,493.27
36,524288,1020.70
36,1048576,1846.71
38,2,5.73
38,4,4.68
38,8,4.66
38,16,4.67
38,32,5.87
38,64,5.73
38,128,8.46
38,256,8.90
38,512,9.59
38,1024,11.44
38,2048,14.43
38,4096,20.18
38,8192,30.20
38,16384,52.88
38,32768,84.04
38,65536,147.79
38,131072,271.76
38,262144,515.50
38,524288,1021.16
38,1048576,1871.13
40,2,5.82
40,4,4.85
40,8,4.90
40,16,4.86
40,32,6.25
40,64,6.06
40,128,9.09
40,256,9.44
40,512,10.29
40,1024,12.23
40,2048,15.48
40,4096,21.59
40,8192,32.59
40,16384,52.93
40,32768,86.14
40,65536,147.49
40,131072,268.18
40,262144,507.58
40,524288,960.60
40,1048576,1916.93
42,2,5.58
42,4,4.86
42,8,4.85
42,16,4.82
42,32,6.14
42,64,5.99
42,128,8.32
42,256,9.01
42,512,9.58
42,1024,11.37
42,2048,14.57
42,4096,20.40
42,8192,30.67
42,16384,56.34
42,32768,92.33
42,65536,159.68
42,131072,291.92
42,262144,560.86
42,524288,1096.44
42,1048576,2079.95
44,2,4.78
44,4,4.64
44,8,4.67
44,16,4.63
44,32,6.14
44,64,5.65
44,128,8.62
44,256,9.17
44,512,9.95
44,1024,12.00
44,2048,15.32
44,4096,21.48
44,8192,32.50
44,16384,57.82
44,32768,95.29
44,65536,163.77
44,131072,290.09
44,262144,571.91
44,524288,1120.63
44,1048576,2027.96
46,2,4.89
46,4,4.63
46,8,4.73
46,16,4.69
46,32,6.34
46,64,5.94
46,128,9.04
46,256,9.76
46,512,10.60
46,1024,12.48
46,2048,16.43
46,4096,23.19
46,8192,35.23
46,16384,60.20
46,32768,95.91
46,65536,163.48
46,131072,283.01
46,262144,536.18
46,524288,1070.98
46,1048576,2104.99
48,2,4.93
48,4,4.69
48,8,4.72
48,16,4.67
48,32,6.49
48,64,6.06
48,128,9.39
48,256,9.88
48,512,10.81
48,1024,12.92
48,2048,16.90
48,4096,23.34
48,8192,36.24
48,16384,63.15
48,32768,98.59
48,65536,165.16
48,131072,306.84
48,262144,569.52
48,524288,1131.44
48,1048576,2156.10
