Processes,Size,Latency
2,2,0.18
2,4,0.18
2,8,0.19
2,16,0.19
2,32,0.22
2,64,0.23
2,128,0.30
2,256,0.32
2,512,0.36
2,1024,0.42
2,2048,0.54
2,4096,0.84
2,8192,1.43
2,16384,2.99
2,32768,5.13
2,65536,6.90
2,131072,9.58
2,262144,14.89
2,524288,27.82
2,1048576,60.87
4,2,0.32
4,4,0.32
4,8,0.33
4,16,0.35
4,32,0.61
4,64,0.56
4,128,1.05
4,256,1.11
4,512,1.26
4,1024,1.55
4,2048,2.46
4,4096,3.69
4,8192,5.93
4,16384,9.04
4,32768,13.27
4,65536,22.15
4,131072,39.87
4,262144,81.13
4,524288,154.46
4,1048576,333.48
6,2,0.62
6,4,0.63
6,8,0.62
6,16,0.62
6,32,0.73
6,64,0.73
6,128,1.59
6,256,1.68
6,512,1.89
6,1024,2.33
6,2048,3.46
6,4096,5.13
6,8192,7.86
6,16384,10.39
6,32768,18.07
6,65536,33.49
6,131072,68.25
6,262144,136.23
6,524288,280.32
6,1048576,507.25
8,2,1.14
8,4,1.14
8,8,1.13
8,16,1.16
8,32,1.31
8,64,1.34
8,128,2.48
8,256,2.58
8,512,2.77
8,1024,3.49
8,2048,4.66
8,4096,6.66
8,8192,10.07
8,16384,12.85
8,32768,22.56
8,65536,43.89
8,131072,89.40
8,262144,152.99
8,524288,379.34
8,1048576,619.90
10,2,1.45
10,4,1.39
10,8,1.42
10,16,1.39
10,32,1.59
10,64,1.60
10,128,3.00
10,256,3.14
10,512,3.38
10,1024,4.64
10,2048,5.75
10,4096,7.99
10,8192,11.99
10,16384,15.10
10,32768,26.74
10,65536,53.87
10,131072,107.69
10,262144,217.75
10,524288,422.50
10,1048576,790.32
12,2,1.50
12,4,1.44
12,8,1.47
12,16,1.48
12,32,1.77
12,64,1.57
12,128,3.22
12,256,3.37
12,512,3.66
12,1024,5.09
12,2048,6.51
12,4096,9.19
12,8192,13.68
12,16384,17.31
12,32768,31.63
12,65536,61.75
12,131072,128.53
12,262144,267.16
12,524288,542.60
12,1048576,924.80
14,2,1.45
14,4,1.48
14,8,1.47
14,16,1.60
14,32,1.74
14,64,1.61
14,128,3.57
14,256,3.67
14,512,4.15
14,1024,5.80
14,2048,7.08
14,4096,9.88
14,8192,15.29
