size,bintree,chain,flat
2,7.793,25.796,10.092
4,5.192,25.654,9.721
8,6.287,41.96,11.568
16,6.454,35.8,10.284
32,11.012,79.641,18.422
64,8.562,61.584,17.009
128,9.429,67.134,18.077
256,11.324,79.173,23.612
512,14.734,102.885,35.405
1024,23.706,142.776,51.011
2048,35.112,209.514,76.164
4096,57.471,316.413,133.368
8192,104.092,534.949,254.18
16384,191.948,954.377,495.243
32768,371.798,1858.294,1040.179
65536,688.741,2828.619,2544.834
131072,1342.544,5441.112,4813.88
262144,2727.548,11154.179,9378.216
524288,6110.043,23937.6,17137.81
1048576,13133.054,54116.855,34398.042
