size,bintree,chain,flat
2,8.076,26.271,10.241
4,5.246,25.89,10.171
8,6.522,41.767,12.166
16,9.075,47.596,14.489
32,8.701,68.872,18.239
64,8.469,62.028,16.749
128,9.444,67.188,17.857
256,11.492,80.222,23.322
512,14.677,103.276,35.039
1024,21.685,142.957,50.559
2048,35.075,208.95,77.085
4096,57.23,316.863,133.444
8192,103.249,528.268,253.316
16384,192.624,954.446,491.575
32768,369.623,1867.576,1031.805
65536,685.395,2796.166,2543.073
131072,1341.584,5489.596,4846.267
262144,2717.387,11176.613,9247.82
524288,6104.443,24398.019,17144.485
1048576,12929.048,54419.649,33756.634
