size,bintree,chain,flat
1,18.364,148.265,108.181
2,17.457,175.958,108.319
4,17.282,149.371,108.563
8,18.267,183.339,112.248
16,29.68,197.615,112.695
32,32.876,246.37,152.723
64,75.216,238.242,157.797
128,44.651,283.702,157.781
256,53.288,319.557,170.043
512,81.725,443.659,228.947
1024,143.031,638.753,327.868
2048,267.05,941.146,550.004
4096,539.661,1500.483,1136.103
8192,1082.265,2524.552,1979.057
16384,2008.256,4519.941,4146.297
32768,4119.28,8483.746,8774.842
65536,3843.652,15576.191,13899.203
131072,12274.662,43566.249,47458.83
262144,16631.15,61518.037,62527.327
524288,34971.199,121083.079,111996.062
1048576,81808.136,253511.198,228361.825
