warmup, barrrier, reduce, flat
Size,Time_bintree,Time_chain, Time_flat
2,0.007761,0.025828,0.010165
4,0.005296,0.025885,0.010050
8,0.006389,0.042573,0.011478
16,0.007485,0.043135,0.011630
32,0.011580,0.070815,0.019651
64,0.008476,0.062231,0.016712
128,0.009378,0.066698,0.017703
256,0.011329,0.080289,0.023312
512,0.014789,0.103036,0.035345
1024,0.022152,0.142709,0.050705
2048,0.037130,0.208811,0.075486
4096,0.060620,0.317116,0.131672
8192,0.106627,0.530632,0.250841
16384,0.229846,1.039523,0.489781
32768,0.383033,1.854695,1.033005
65536,0.678484,2.867074,2.679309
131072,1.309292,5.390667,4.878893
262144,2.634451,10.878814,8.591811
524288,5.927465,23.751172,16.243278
1048576,12.622709,52.690074,32.071166
