code with barrrier
Size,Time_bintree,Time_chain
2,0.020345,0.438436
4,0.006205,0.179859
8,0.006125,0.170512
16,0.006320,0.222439
32,0.006730,0.151687
64,0.006286,0.170589
128,0.006269,0.153836
256,0.006601,0.173131
512,0.006290,0.155059
1024,0.006576,0.150537
2048,0.006226,0.154823
4096,0.006345,0.151190
8192,0.006243,0.155006
16384,0.006545,0.146507
32768,0.006285,0.146189
65536,0.006014,0.153120
131072,0.005895,0.143854
262144,0.006485,0.142884
524288,0.006363,0.146921
1048576,0.006812,0.144037
