code with barrrier, removed barrier at the and of chain. Barrrier only before the call of chain or bin tree, MPI reduce to write
Size,Time_bintree,Time_chain
2,0.022822,0.197393
4,0.009354,0.153896
8,0.008157,0.153690
16,0.008690,0.153643
32,0.008385,0.157615
64,0.008334,0.150464
128,0.010106,0.154699
256,0.008780,0.157258
512,0.010512,0.170149
1024,0.009645,0.151476
2048,0.008752,0.160068
4096,0.008291,0.149656
8192,0.009599,0.183638
16384,0.009475,0.158343
32768,0.008165,0.149828
65536,0.009168,0.153257
131072,0.008606,0.150211
262144,0.008282,0.148889
524288,0.009253,0.146401
1048576,0.009357,0.156159
