no warmup,code with barrrier, removed barrier at the and of chain. Barrrier only before the call of chain or bin tree, MPI reduce to write
Size,Time_bintree,Time_chain
2,0.014864,0.161322
4,0.008187,0.153177
8,0.008231,0.156273
16,0.011528,0.165149
32,0.010509,0.182390
64,0.008185,0.156644
128,0.009263,0.148612
256,0.018215,0.151226
512,0.011329,0.151543
1024,0.008961,0.145379
2048,0.009076,0.145220
4096,0.008414,0.147995
8192,0.008336,0.146962
16384,0.008387,0.147888
32768,0.008199,0.150538
65536,0.008400,0.147673
131072,0.008280,0.154433
262144,0.009631,0.152493
524288,0.008904,0.158661
1048576,0.008524,0.142872
