warmup, barrrier, reduce
Size,Time_bintree,Time_chain
2,0.019414,0.146348
4,0.017438,0.145833
8,0.017106,0.144356
16,0.017361,0.149112
32,0.019241,0.150670
64,0.020509,0.208563
128,0.024637,0.153374
256,0.018094,0.151528
512,0.017762,0.147019
1024,0.018213,0.144843
2048,0.017572,0.144899
4096,0.017577,0.158460
8192,0.017354,0.143935
16384,0.017699,0.144036
32768,0.017185,0.144479
65536,0.017616,0.145229
131072,0.017288,0.144583
262144,0.030242,0.157782
524288,0.019658,0.173451
1048576,0.019517,0.159419
