"pocesses","bintree","chain"
2,0.000189,0.000185
4,0.000711,0.001236
6,0.001828,0.002541
8,0.003102,0.005186
10,0.002338,0.005953
12,0.003532,0.006703
14,0.003329,0.006916
16,0.003793,0.008903
18,0.003011,0.00934
20,0.003774,0.012295
22,0.004772,0.013645
24,0.006951,0.019855
26,0.005203,0.01734
28,0.005314,0.016693
30,0.005239,0.018461
32,0.005419,0.022041
34,0.006883,0.020939
36,0.006229,0.022356
38,0.006202,0.024595
40,0.006083,0.02526
42,0.004793,0.025164
44,0.006339,0.027569
46,0.007382,0.028349
48,0.007881,0.030179
50,0.006045,0.030257
52,0.00627,0.030877
54,0.006106,0.031835
56,0.006538,0.033414
58,0.007097,0.03693
60,0.005731,0.035613
62,0.045336,0.133359
64,0.004957,0.048676
66,0.005135,0.053682
68,0.005592,0.055499
70,0.005805,0.057269
72,0.00537,0.058618
74,0.006665,0.060294
76,0.007747,0.063875
78,0.005969,0.064227
80,0.006417,0.065646
82,0.007482,0.068703
84,0.007026,0.070783
86,0.009911,0.072331
88,0.006122,0.072468
90,0.007213,0.075682
92,0.008465,0.079069
94,0.007669,0.079153
96,0.008577,0.078897
98,0.006661,0.082459
100,0.007423,0.087327
102,0.007295,0.084603
104,0.006878,0.086288
106,0.007942,0.093072
108,0.007577,0.092098
110,0.007652,0.09466
112,0.006659,0.094072
114,0.007184,0.09696
116,0.009483,0.100107
118,0.008393,0.102391
120,0.009496,0.10637
122,0.007955,0.105751
124,0.0078,0.105606
126,0.010199,0.110698
128,0.008722,0.120855
130,0.007527,0.111667
132,0.021111,0.157611
134,0.018741,0.123546
136,0.007757,0.120987
138,0.009748,0.123314
140,0.009571,0.118624
142,0.007455,0.126934
144,0.009932,0.136837
146,0.011456,0.130043
148,0.010977,0.133348
150,0.02147,0.127668
152,0.007986,0.132049
154,0.009975,0.13686
156,0.011846,0.143129
158,0.011798,0.144714
160,0.010272,0.154935
162,0.015904,0.148951
164,0.015636,0.152377
166,0.010077,0.144179
168,0.012202,0.155677
170,0.01546,0.203975
172,0.013275,0.155238
174,0.014363,0.157614
176,0.016886,0.16936
178,0.013547,0.167283
180,0.014239,0.179702
182,0.018953,0.177889
184,0.015611,0.174894
186,0.0146,0.166507
188,0.015909,0.191063
190,0.014056,0.173336
192,0.016901,0.202279
194,0.015278,0.174273
196,0.01627,0.192624
198,0.025485,0.205251
200,0.015824,0.214863
202,0.019466,0.181828
204,0.01427,0.184632
206,0.015836,0.19722
208,0.015154,0.188402
210,0.01938,0.191747
212,0.01623,0.190205
214,0.017173,0.188201
216,0.019321,0.202582
218,0.029832,0.192343
220,0.029062,0.234496
222,0.020123,0.193162
224,0.022674,0.213534
226,0.020214,0.214746
228,0.028144,0.223059
230,0.020748,0.221253
232,0.022528,0.222972
234,0.026104,0.214302
236,0.024617,0.215748
238,0.03049,0.211973
240,0.023315,0.225121
242,0.026357,0.220885
244,0.031605,0.234358
246,0.037534,0.246517
248,0.030797,0.239517
250,0.027703,0.262251
252,0.026133,0.256671
254,0.031088,0.287055
256,0.019343,0.159016
