processes,size,bintree,chain,flat
2,1024,1.37,1.357,1.336
4,1024,4.638,8.735,5.112
6,1024,8.304,15.624,7.829
8,1024,7.349,21.316,11.155
10,1024,10.724,28.403,13.642
12,1024,10.696,35.716,16.874
14,1024,11.06,40.413,19.32
16,1024,12.193,49.929,27.206
18,1024,12.377,56.114,26.697
20,1024,12.725,61.35,29.686
22,1024,15.069,67.564,31.763
24,1024,15.33,75.213,37.275
26,1024,16.934,80.292,36.836
28,1024,17.099,86.611,38.223
30,1024,17.071,93.776,38.9
32,1024,51.512,103.298,43.593
34,1024,43.895,109.123,42.827
36,1024,33.929,114.982,44.935
38,1024,20.692,122.743,46.429
40,1024,28.279,129.429,48.071
42,1024,27.735,135.117,50.517
44,1024,24.959,142.579,55.212
46,1024,25.085,148.868,55.8
48,1024,25.927,156.098,56.987
50,1024,25.498,175.42,62.495
52,1024,28.967,183.292,59.668
54,1024,34.849,188.846,62.578
56,1024,32.258,201.884,64.208
58,1024,39.248,207.24,64.343
60,1024,29.156,197.903,57.342
62,1024,29.437,204.207,57.286
64,1024,27.25,210.881,59.729
66,1024,26.691,213.302,60.635
68,1024,28.367,218.492,60.772
70,1024,26.642,225.112,59.916
72,1024,30.179,228.969,62.853
