processes,size,bintree,chain,flat,MPI
2,1048576,0.338769,0.332997,0.334287, 0.335042
4,1048576,1.784612,1.967678,2.264008, 1.774902
6,1048576,3.457990,4.908531,5.088833, 3.953578
8,1048576,3.284975,6.947260,7.359902, 2.251189
10,1048576,3.615256,9.752779,9.611897, 2.941934
12,1048576,5.104781,12.138172,11.941455, 3.488726
14,1048576,5.358944,15.000535,14.270147, 4.268199
16,1048576,7.399982,17.485408,16.985146, 2.289797
18,1048576,7.580550,20.465154,18.955995, 3.405217
20,1048576,7.713116,22.792737,21.346955, 3.362565
22,1048576,7.704586,25.108981,23.517589, 3.091049
24,1048576,8.648225,27.643338,25.896861, 3.115035
26,1048576,8.282685,28.463282,26.380447, 2.850468
28,1048576,8.350536,30.481057,27.036886, 2.793439
30,1048576,8.209403,32.428523,27.499551, 2.791980
32,1048576,9.095910,36.193994,28.043886, 5.521842
34,1048576,9.271387,37.848022,28.863195, 5.701128
36,1048576,9.216815,40.002650,29.637984, 5.551674
38,1048576,9.655182,41.958267,30.271472, 5.596315
40,1048576,10.329861,44.255021,30.832305, 5.701108
42,1048576,11.049892,46.029841,31.425987, 5.719845
44,1048576,11.668216,48.121025,32.160859, 5.579428
46,1048576,12.392465,50.399021,33.143459, 5.525846
48,1048576,13.028366,52.977849,33.725346, 5.644754
