processes,size,bintree,chain,flat,MPI
2,1048576,0.327808,0.326942,0.327110, 0.326319
4,1048576,1.783580,1.974102,2.250539, 1.787168
6,1048576,3.488267,4.815537,5.034391, 3.830696
8,1048576,3.484150,7.407583,7.426677, 2.406481
10,1048576,3.627140,9.760185,9.708835, 2.959001
12,1048576,4.991373,12.085820,12.069814, 3.385486
14,1048576,5.309344,15.106073,13.985052, 4.118694
16,1048576,7.524243,17.587551,16.592417, 2.390443
18,1048576,7.602078,20.342034,18.834619, 3.430856
20,1048576,7.615313,22.376027,21.129958, 3.213691
22,1048576,7.779060,25.528309,23.417892, 3.172877
24,1048576,8.334887,27.298850,25.768022, 3.009001
26,1048576,8.268569,28.453665,26.683185, 2.847945
28,1048576,8.269819,30.488481,27.230910, 2.749699 
30,1048576,8.253853,32.578261,27.804074, 2.807492
32,1048576,8.965332,36.082531,28.129185, 5.358657
34,1048576,9.363456,38.219957,28.693059, 5.535660
36,1048576,9.190245,40.268253,29.497873, 5.458009
38,1048576,9.657840,41.876807,30.134511, 5.233339
40,1048576,10.363013,43.978234,31.019490, 5.443865
42,1048576,11.059060,46.185506,31.514325, 5.490252
44,1048576,11.748948,48.603569,32.447307, 5.522111
46,1048576,12.390894,50.514127,33.074914, 5.516033
48,1048576,13.128983,52.944906,33.900840, 5.620865
