size,bintree,chain,flat
1,0.018364,0.148265,0.108181
2,0.017457,0.175958,0.108319
4,0.017282,0.149371,0.108563
8,0.018267,0.183339,0.112248
16,0.029680,0.197615,0.112695
32,0.032876,0.246370,0.152723
64,0.075216,0.238242,0.157797
128,0.044651,0.283702,0.157781
256,0.053288,0.319557,0.170043
512,0.081725,0.443659,0.228947
1024,0.143031,0.638753,0.327868
2048,0.267050,0.941146,0.550004
4096,0.539661,1.500483,1.136103
8192,1.082265,2.524552,1.979057
16384,2.008256,4.519941,4.146297
32768,4.119280,8.483746,8.774842
65536,3.843652,15.576191,13.899203
131072,12.274662,43.566249,47.458830
262144,16.631150,61.518037,62.527327
524288,34.971199,121.083079,111.996062
1048576,81.808136,253.511198,228.361825
