processes,size,bintree,chain,flat
2,1024,0.43,0.44,0.42
4,1024,1.58,1.62,1.55
6,1024,2.1,2.62,2.33
8,1024,2.33,3.66,3.49
10,1024,2.81,3.34,4.64
12,1024,2.93,4.3,5.09
14,1024,2.99,4.77,5.8
16,1024,2.95,5.55,6.54
18,1024,3.31,5.4,7.41
20,1024,3.44,6.11,8.02
22,1024,3.45,6.92,8.63
24,1024,3.46,7.6,9.31
26,1024,3.48,6.73,9.59
28,1024,3.47,7.27,10.12
30,1024,3.42,7.59,10.3
32,1024,4.35,8.9,11.86
34,1024,6.23,10.46,13.87
36,1024,6.21,11.3,14.12
38,1024,6.24,11.44,14.25
40,1024,6.34,12.23,14.75
42,1024,6.25,11.37,14.59
44,1024,6.23,12.0,14.73
46,1024,6.32,12.48,15.19
48,1024,6.35,12.92,15.51
