size,bintree,chain,flat
2,6.763,59.263,22.791
4,7.786,58.557,22.428
8,14.622,109.115,26.431
16,7.578,76.695,23.896
32,10.54,138.437,32.427
64,15.565,133.442,36.843
128,11.877,140.318,36.116
256,15.145,170.249,40.975
512,22.336,216.584,50.229
1024,35.524,292.273,68.531
2048,61.779,434.876,99.377
4096,102.261,652.185,185.134
8192,192.591,1103.988,370.479
16384,371.572,1955.767,712.433
32768,736.669,3596.733,1438.065
65536,1266.689,5749.875,4032.312
131072,2451.594,11255.175,7228.208
262144,5001.253,23351.092,14130.317
524288,10531.343,49070.413,26308.95
1048576,21808.707,107347.688,51855.96
