processes,size,bintree,chain,flat
2,1024,0.543,0.538,0.522
4,1024,3.113,4.905,3.181
6,1024,6.314,11.441,7.307
8,1024,9.737,16.554,14.752
10,1024,9.124,20.156,13.896
12,1024,11.053,23.543,15.774
14,1024,10.397,27.175,19.585
16,1024,12.846,39.254,27.003
18,1024,12.621,45.411,30.3
20,1024,13.195,47.96,33.593
22,1024,17.71,55.369,36.842
24,1024,18.79,57.378,40.396
26,1024,18.115,62.438,43.713
28,1024,17.716,67.365,44.948
30,1024,19.274,75.574,53.273
32,1024,18.142,76.465,55.498
34,1024,19.163,83.344,58.451
36,1024,18.13,86.606,58.518
38,1024,18.955,91.768,65.044
40,1024,19.838,97.273,68.881
42,1024,18.744,100.388,70.443
44,1024,21.007,105.729,72.593
46,1024,21.318,110.81,79.082
48,1024,22.052,115.899,80.494
50,1024,21.47,119.03,81.193
52,1024,22.331,122.717,82.41
54,1024,22.783,128.663,89.464
56,1024,24.587,133.485,91.755
58,1024,22.392,137.702,91.788
60,1024,22.99,142.696,95.771
62,1024,23.328,147.795,100.942
64,1024,24.129,163.414,115.033
66,1024,20.766,159.901,108.593
68,1024,21.584,165.782,112.763
70,1024,22.844,169.332,118.074
72,1024,21.323,174.91,120.62
74,1024,21.471,179.462,122.15
76,1024,23.576,183.614,127.291
78,1024,22.915,189.317,128.891
80,1024,22.14,195.31,134.404
82,1024,25.063,202.04,136.91
84,1024,25.113,205.061,140.45
86,1024,25.705,208.874,144.334
88,1024,29.432,219.292,147.777
90,1024,30.094,222.476,152.199
92,1024,30.059,228.091,155.5
94,1024,28.516,232.739,158.733
96,1024,26.963,237.238,161.768
98,1024,29.097,246.6,166.435
100,1024,28.882,256.742,169.299
102,1024,29.402,266.102,175.668
104,1024,28.756,265.085,179.337
106,1024,30.625,274.126,179.343
108,1024,32.188,269.194,187.959
110,1024,31.314,277.557,187.239
112,1024,31.245,287.357,193.801
114,1024,31.544,285.282,194.304
116,1024,32.005,294.878,200.596
118,1024,31.629,300.013,202.697
120,1024,32.098,312.177,206.881
122,1024,31.378,313.641,211.545
124,1024,34.048,312.534,216.533
126,1024,33.497,328.531,219.955
128,1024,29.017,327.245,220.899
130,1024,36.526,360.73,246.531
132,1024,35.027,362.013,250.433
134,1024,39.495,377.627,248.273
136,1024,35.854,377.147,245.412
138,1024,66.613,417.694,245.83
140,1024,34.446,397.0,247.106
142,1024,38.108,379.337,246.512
144,1024,33.887,390.519,245.666
146,1024,34.561,389.543,250.579
148,1024,34.294,393.43,250.685
150,1024,72.453,414.798,249.813
152,1024,36.684,403.304,254.61
154,1024,38.293,409.087,255.258
156,1024,38.83,439.936,258.791
158,1024,38.316,420.412,258.301
160,1024,37.035,437.179,256.566
162,1024,39.925,439.602,258.396
164,1024,49.636,436.203,259.787
166,1024,47.744,472.805,262.687
168,1024,58.963,472.222,269.551
170,1024,57.313,448.967,267.779
172,1024,57.99,452.021,269.195
174,1024,77.106,484.618,276.938
176,1024,66.111,461.338,277.356
178,1024,68.402,468.519,278.024
180,1024,70.227,484.909,281.168
182,1024,74.331,480.591,287.473
184,1024,74.982,485.349,285.43
186,1024,79.393,487.547,286.352
188,1024,79.401,504.5,292.449
190,1024,85.205,518.602,294.867
192,1024,88.515,512.119,295.613
194,1024,90.198,527.169,296.371
196,1024,89.386,536.205,306.313
198,1024,93.757,540.874,308.529
200,1024,91.747,550.868,312.688
202,1024,101.521,553.893,313.029
204,1024,108.361,579.595,313.197
206,1024,100.385,572.848,318.349
208,1024,115.887,600.283,326.132
210,1024,110.044,584.424,321.677
212,1024,111.685,608.365,326.792
214,1024,111.543,620.592,330.91
216,1024,111.943,602.43,332.807
218,1024,112.49,623.73,336.273
220,1024,119.401,608.558,338.537
222,1024,126.203,637.498,347.413
224,1024,123.986,646.421,348.401
226,1024,139.467,678.831,348.182
228,1024,125.351,639.363,349.456
230,1024,121.248,650.345,355.687
232,1024,148.048,752.535,360.07
234,1024,131.714,673.796,357.858
236,1024,131.935,682.008,361.367
238,1024,137.79,697.417,365.158
240,1024,138.461,677.332,368.168
242,1024,135.235,704.709,368.865
244,1024,142.491,707.042,375.546
246,1024,139.354,679.316,377.627
248,1024,139.317,728.841,380.533
250,1024,152.67,741.601,376.122
252,1024,139.734,742.917,384.723
254,1024,145.077,743.779,386.772
256,1024,147.335,697.929,341.499
