processes,size,bintree,chain,flat
2,1024,1.346,1.34,1.339
4,1024,4.492,9.059,5.109
6,1024,7.272,14.748,7.469
8,1024,7.9,21.795,11.8
10,1024,10.691,27.839,13.736
12,1024,10.355,34.253,15.895
14,1024,12.409,40.793,19.4
16,1024,12.784,50.572,27.103
18,1024,12.594,55.392,26.965
20,1024,12.72,61.571,29.515
22,1024,15.028,67.614,31.882
24,1024,15.196,74.954,34.903
26,1024,16.839,80.284,37.139
28,1024,17.163,86.771,38.986
30,1024,17.212,93.474,39.676
32,1024,31.149,104.022,44.043
34,1024,32.747,109.256,43.271
36,1024,57.567,115.203,45.16
38,1024,38.175,122.259,47.056
40,1024,27.943,129.279,48.3
42,1024,22.701,135.682,50.74
44,1024,24.412,142.684,55.071
46,1024,29.939,161.6,58.971
48,1024,25.609,156.1,57.387
50,1024,23.738,162.301,58.945
52,1024,28.714,181.53,61.491
54,1024,27.724,187.155,62.683
56,1024,36.108,194.303,62.787
58,1024,30.135,206.173,67.767
60,1024,29.585,198.595,57.109
i62,1024,29.416,204.628,58.473
